# N2O/HTPB equilibrium combustion properties for the chamber.
# Generated by scripts/generate_thermochemistry_table.py -- do not edit by hand.
#
# Solver     : NASA CEA via rocketcea (Gordon & McBride, NASA RP-1311).
# Oxidizer   : oxid NitrousOxide  N 2.0 O 1.0  wt%=100.00 h,cal= 19467.0 t(k)=298.15
# Fuel       : fuel R-45(HTPB FROM_RPL_DATA) C 7.3165 H 10.3360 O 0.1063    wt%=100.00 h,cal= 1200.0 t(k)=298.15 rho=0.9220
# Assumption : equilibrium composition; chamber (stagnation) properties.
# O/F        : oxidizer mass flow / fuel mass flow.
# c*         : IDEAL equilibrium characteristic velocity. A combustion
#              efficiency is applied downstream and is NOT included here.
# gamma      : CEA chamber GAMMAs (isentropic exponent).
# molar mass : effective_molar_mass is CEA's M,(1/n), the total mixture mass
#              per mole of gas -- the quantity that reproduces CEA's own sound
#              speed when a condensed phase is present. gas_molar_mass is the
#              gas-phase MW, kept only as a diagnostic; their ratio flags soot.
# Units      : O/F [-], pressure [Pa], c* [m/s], gamma [-], T [K],
#              molar mass [kg/mol], R [J/(kg K)].
# NOT experimentally validated. Generic reduced-order educational study.
of,chamber_pressure_pa,ideal_cstar_m_s,gamma,chamber_temperature_k,effective_molar_mass_kg_mol,gas_molar_mass_kg_mol,specific_gas_constant_j_kg_k
1.35,4250000.0,1256.2787845257692,1.2230264660505545,1689.9506871713138,0.020860449729344165,0.01533825315684546,398.57542506881515
1.35,4500000.0,1256.57676908436,1.222645120131348,1691.3420453490535,0.02087343311363234,0.015348886677918495,398.3275090751537
1.375,1000000.0,1255.8525740797904,1.229860614260896,1683.0202208112476,0.020676983020382084,0.015284789703564644,402.1119817046868
1.375,1250000.0,1256.3108618295116,1.2293297149342268,1684.744515012969,0.020692561878061035,0.01529763486109998,401.80924271224626
1.375,1500000.0,1256.7485628355855,1.228813473236507,1686.4261245111775,0.020707810575855582,0.015310218224986133,401.5133607458389
1.375,1750000.0,1257.1673977420146,1.2283127240477651,1688.0682733147557,0.02072274737737026,0.015322553574612053,401.22395291464073
1.375,2000000.0,1257.568921321556,1.22782713143862,1689.6734137647948,0.02073738882091139,0.015334654138262209,400.94067241560197
1.375,2250000.0,1257.9544382778327,1.2273567113204369,1691.2437123508548,0.020751747921941708,0.015346528882052285,400.6632428880251
1.375,2500000.0,1258.3251748231598,1.2269006279408259,1692.7809441994427,0.020765838168446633,0.015358188724538447,400.3913808128244
1.375,2750000.0,1258.6822042649462,1.2264582068446541,1694.286727422731,0.02077967146190064,0.015369642908150351,400.1248351421003
1.375,3000000.0,1259.0264871405489,1.2260287658518558,1695.762528005831,0.020793258809233297,0.015380900002631964,399.8633737155209
1.375,3250000.0,1259.3588862867928,1.2256116394046033,1697.2096880291513,0.020806610437070952,0.015391967986696507,399.60678089047104
1.375,3500000.0,1259.6802059677866,1.225206149603395,1698.6294784529312,0.020819736697928658,0.015402854867456826,399.3548400075204
1.375,3750000.0,1259.9910598115957,1.2248117622479107,1700.0230123649608,0.020832645361293048,0.015413566672859239,399.10738525066193
1.375,4000000.0,1260.2921849680215,1.224427887854196,1701.3913307152022,0.020845344748551115,0.01542411024703151,398.8642413111402
1.375,4250000.0,1260.5840495046123,1.2240539879035695,1702.735456130684,0.020857843040386227,0.01543449182306324,398.6252366508383
1.375,4500000.0,1260.8673328437787,1.2236895645011503,1704.0563211774286,0.020870147600598278,0.015444717186270671,398.39021635676653
1.4,1000000.0,1260.4119514967467,1.2304638142915894,1696.8809663724426,0.02068600098867084,0.01538772024765215,401.9366828104478
1.4,1250000.0,1260.8350387021903,1.22997508982953,1698.4945237824213,0.0207005648106327,0.015399910739997231,401.6539014302322
1.4,1500000.0,1261.2404632171124,1.2294972578774952,1700.070013631672,0.02071483936756423,0.01541186835983334,401.3771224805622
1.4,1750000.0,1261.6295996019958,1.229031567665278,1701.6104329026982,0.02072884060132404,0.015423605533837025,401.1060134964287
1.4,2000000.0,1262.0036622168077,1.2285786335162217,1703.1181219725538,0.020742581912738554,0.015435132280250253,400.84029331439564
1.4,2250000.0,1262.3637407410342,1.2281382845774922,1704.5948881735826,0.020756074724385468,0.015446457335942217,400.57972080008346
1.4,2500000.0,1262.7108322032136,1.2277101189136106,1706.0423096263019,0.020769330196493997,0.015457589649104502,400.32406145690425
1.4,2750000.0,1263.0458240921291,1.227293683977643,1707.4617814413496,0.0207823582965062,0.015468537073353366,400.073105245124
1.4,3000000.0,1263.3695164194787,1.226888486653748,1708.8545608578975,0.020795168253900646,0.015479306903221223,399.82665763910893
1.4,3250000.0,1263.6826325464717,1.2264940247205371,1710.2217957599066,0.02080776866102937,0.015489905945928861,399.5845375564974
1.4,3500000.0,1263.9858410598495,1.2261097775364087,1711.564555657559,0.020820167939515154,0.015500340902671507,399.34656829639493
1.4,3750000.0,1264.2796886112708,1.225735301170097,1712.8838196235272,0.020832373314681605,0.015510617377105905,399.11259712979444
1.4,4000000.0,1264.564723895303,1.2253701365343708,1714.1805001075377,0.02084439178726202,0.015520740939900919,398.88247653649256
1.4,4250000.0,1264.8415291826375,1.2250138517702944,1715.4554112643125,0.020856229613112284,0.015530716906048994,398.6560740956126
1.4,4500000.0,1265.110486996159,1.224666030267055,1716.709380866276,0.020867893430603062,0.015540550372415012,398.43325085256197
1.425,1000000.0,1264.904594927689,1.2310220456512775,1710.5907862593604,0.020695163796316418,0.015490225921806133,401.75872488044337
1.425,1250000.0,1265.2954298302714,1.2305723759959477,1712.1029676694072,0.020708797061671846,0.015501807766026802,401.4942342251513
